Main Group,Units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Milk products exc. cheese,ml,1904,1901,1847,1849,1827,1807,1818,1786,1840,1746
Soft drinks,ml,1630,1633,1664,1546,1531,1522,1608,1508,1642,1658
Vegetables exc. Potatoes,g,1090,1086,1102,1080,1103,1117,1137,1134,1139,1147
Fruit,g,1149,1106,1114,1096,1092,1093,1130,1096,1106,1079
Meat,g,998,989,948,955,929,937,953,957,962,949
Other food and drink,g,726,776,778,787,815,829,855,884,1000,934
Potatoes,g,996,970,924,911,921,922,873,917,861,868
Alcoholic drinks,ml,728,700,694,675,678,675,712,728,712,728
Other cereals and cereal products,g,547,542,549,560,566,565,562,582,589,607
Bread,g,434,424,403,372,364,365,349,338,335,327
Biscuits,g,164,160,165,162,164,166,169,160,159,173
"Cakes, buns and pastries",g,151,149,150,147,155,154,150,159,151,163
Fats,g,170,178,171,158,162,162,139,158,161,158
Fish,g,147,144,146,144,146,144,139,139,146,148
Confectionery,g,134,126,128,130,132,134,130,137,136,144
Cheese,g,118,114,118,111,112,115,124,125,123,129
Sugar and preserves,g,126,124,123,109,106,107,107,99,93,87
Tea and Coffee,g,53,53,52,52,53,53,54,49,52,56
Flour,g,71,73,57,52,61,63,55,75,48,54
Eggs,no.,2,2,2,2,2,2,2,2,2,2
